nom_station;nbre_pdc;puissance_nominale;gratuit;consolidated_longitude;consolidated_latitude
Vouillé Beauregard;1;50;false;0.18157;46.64537
Paris | Rue de Tolbiac 234;3;4;False;2.343366;48.826504
Vierzon - Parking Gaucherie;2;18;false;2.064954;47.222651
GARAGE PLISSONNEAU - CAMPBON;1;22;false;-1.9659948222190418;47.41092605168244
LES ANGLES - Rue De La Poste;2;22;TRUE;2.073845;42.578575
Intermarché Bannalec;3;120;false;-3.704378;47.926427
NERAC - MEDIATHEQUE - GAUCHE;2;22000;false;0.342304;44.134995
VAUVERT - Avenue Fanfonne Guillerme;2;22;TRUE;4.269988;43.687725
LE CANNET PARKING STADE JEANPIERRE;2;3;false;7.006267;43.576397
SIGEIF - QUAI DE DION BOUTON - PUTEAUX;2;22000;false;2.244992;48.880643
LES ULIS;2;22000;false;2.171913;48.677594
LM - Biganos (magasin 173);4;22.08;true;-0.948787;44.641162
Centre commercial Grand Var;6;43;TRUE;6.0163128;43.1428196
Hôtel Orchidées;4;22;false;5.42;49.17
Metropolis – Proximité – Rueil-Malmaison – Driant;1;7.00;false;2.200918;48.876649
MAUREILLAS - Route De Las Illas;2;22;TRUE;2.809221;42.489883
Cabinet Dentaire du Calavon - Beaumettes;1;7;true;5.2;43.86
GEMOZAC - PLACE DE VERDUN;2;43000;false;-0.678903;45.568583
MONDRAGON - Rue Des Anciens Combattants;2;22.0;false;4.711703777313232;44.23833084106445
Villenave-d'Ornon - Best Hotel;4;150;false;-0.587263;44.783785
"La Garde; Pkg de la Poste; Avenue Jean Jaurès";2;22;false;6.010815;43.12151
"Digne-Les-Bains; Avenue Bad Merghenteim";2;22;false;6.238784;44.090763
"Le Castellet; 3054 Route des Sources";2;22;false;5.771902;43.176461
PISANY - ALLEE DES SPORTS;3;50000;false;-0.779485;45.700818
ST GERMAIN EN LAYE - Pologne;3;7;false;2.0881900787353516;48.89789962768555
Kia Volvo Nice La Plaine (SAV);3;24.00;false;7.199801;43.688858
OuestCharge - Diva Sp - Saumur - Europe;2;22.00;false;-0.081374;47.257962
SIGEIF - 2 RUE DES PENDANTS PARKING CTM - EAUBONNE;1;22000;false;2.26679;48.995
SAINT SYMPHORIEN DE THENIERES - Saint Gervais;2;3.7;false;2.6790709495544434;44.73712921142578
SALLES-SUR-L'HERS - Place Marengo;2;18;false;1.787221908569336;43.293609619140625
Stations-e - Marcel Pagnol II - Boussy-Saint-Antoine;2;22;false;2.5295840174515463;48.678489499960584
SAINT JEAN DE VEDAS - Rond Point De L'Europe;2;3.7;false;3.838346004486084;43.57106018066406
"Craponne-Sur-Arzon; Avenue de la Gare";2;22;false;3.8506602;45.33388671
Metropolis - Express - Châtenay-Malabry - Bergerac;1;100;false;2.250672;48.768565
CARCASSONNE - Place Gaston Jourdanne;2;22.0;false;2.3604068756103516;43.2105712890625
Parking Fleuriste;4;22;false;2.672061;48.017411
BELHOMERT;1;18;false;1.058089;48.503768
HAZEBROUCK - Rue de la plaine;2;22.0;false;2.5526111125946045;50.73027038574219
Intermarche Ramonville St Agne;1;22;false;1.4774625;43.5360098
TOULOUSE - Place Roger Arnaud;4;22;TRUE;1.46379;43.58747
Cora Sarreguemines;4;100;false;7.0934179;49.1168251
SIGEIF - 5  BOULEVARD SALVADOR ALLENDE - VILLIERS-LE-BEL;2;22000;false;2.392918;49.004398
SAUMANE-DE-VAUCLUSE - Cours René Chaar;2;22.0;false;5.105523109436035;43.937225341796875
ALES - Chemin Des Sports;2;22;TRUE;4.088664;44.118916
"Ville-La-Grand; Place Porte-Bonheur";2;22;false;6.2500572;46.2012424
Intermaché Isigny sur Mer;6;90;false;-1.0992336;49.3136362
PARIS - Saint Germain des Prés;10;22;TRUE;2.331784;48.854099
"Angoulême; France";8;250;0;0.178841;45.69444
LEDENON - Parking - Chmin De L'Esperel;2;3.7;false;4.509492874145508;43.91518020629883
"Saint-Quentin-Sur-Isère; Route du Sud";2;22;false;5.538613;45.279523
CCTLB GELACOURT;2;22000;false;6.732776;48.481303
CAR AVENUE - KIA FORBACH;2;24;false;6.8803172978119616;49.1758271238547
900039;2;22.0;false;0.584992;49.243902
"Gemenos; Cours Pasteur";2;3.7;false;5.62862;43.297151
GUILLAUMES - PARKING PLACE NAPOLEON 3;2;22000;false;6.854609;44.089531
LABENNE - PARKING COTE PRESBYTERE;4;50000;false;-1.425559;43.595455
CHAMBOURCY - Rue Croix Blanche;2;22.0;false;2.039011001586914;48.90693283081055
Volvo Chennevières sur Marne;15;24.00;false;2.547351;48.797325
Rupt-sur-moselle_IRVE;2;25;false;6.66;47.93
ALLEGRE LES FUMADES - Parking Casino;2;18.0;false;4.22837495803833;44.186241149902344
"Salon-de-Provence; Avenue du Dauphiné";2;22;false;5.099081;43.65232
CACHAN - Rue Francois Delage;2;22;false;2.3371200561523438;48.79267883300781
"Pontcharra; Parking Mairie";2;22;false;6.020297;45.432277
VERS-PONT-DU-GARD - Parking Pont Du Gard - Rive Gauche;2;3.7;false;4.534916877746582;43.95331954956055
SETE - Parking piscine Fonquerne;2;22;TRUE;3.661307;43.398156
SAINT AGATHON-RUE HENT MEUR PARKING SALLE DES SPORTS;2;22000;false;-3.104479;48.55711
LANDIVISIAU-RUE LA TOUR DAUVERGNE;2;22000;false;-4.072221;48.509758
Toyota Arles;4;22.08;false;4.643349;43.664953
"Vallouise; Pelvoux";2;22;false;6.490031;44.844086
SAINT SEURIN SUR L ISLE - AV GEORGES CLEMENCEAU / PARKING MEDIATHEQUE;2;22000;false;-0.000992;45.015003
MAUBEUGE - Pl de Wattignies;2;22.0;false;3.971621036529541;50.275325775146484
VILA DE LA MAR HOTEL;2;12;false;4.4307718;43.4535293
Lorient - Rue Moïse Le Bihan;2;18;false;-3.382552;47.736239
OuestCharge - Diva Sp - Ingrandes - Gare;2;22.00;false;-0.921126;47.405856
SAISSAC - Avenue Maurice Sarraut;2;22;TRUE;2.1688889;43.3616667
DLM LYON EST;2;22;0;5.0276404;45.7707093
HURES LA PARADE - D986;2;18;false;3.3539860248565674;44.2451057434082
PERROS GUIREC-PLACE DE LHOTEL DE VILLE;2;22000;false;-3.444974;48.815392
AGEN - Reine Garonne;3;3.7;false;0.6154919862747192;44.20408248901367
"Bény-sur-Mer; Route de Courseulles";2;22;false;-0.432045;49.290691
PETIT MENIN 3 DECATHLON - Neuville-en-Ferrain;2;22.08;false;3.1404;50.74124
Paris | Rue du Four 38;6;7;False;2.3314662;48.85245
Volvo Angoulème;8;22.08;false;0.174498;45.689028
BEAUZELLE - Rue Des Pins;2;22;TRUE;1.378404;43.668414
MAZAMET - Rue De L'Egalité - Parking Du Champ De La Ville;2;18;TRUE;2.37865;43.490329
VITRY LE FRANCOIS - Place D'Armes;2;22.0;false;4.58567476272583;48.7253303527832
LANRIVOARE-RUE DE BELLEVUE;2;22000;false;-4.640213;48.467697
LY313 - SERVIENT - PREFECTURE;1;7000;false;4.841473;45.759943
RABASTENS DE BIGORRE - Place Centrale;2;18;TRUE;0.15;43.38776
"Neoules; 93 Chemin de la Fontaine du Midi";2;22;false;6.013545;43.308971
Hondschoote - Place du Général de Gaulle;1;3.7;TRUE;2.58696;50.98144
Camping Arinella;2;22;false;9.445073;41.995246
FRETIN - Rue Alfred Cousin;2;18;TRUE;3.133606;50.560581
QUIMPER-RUE ROUGET DE LISLE;2;22000;false;-4.106417;47.999485
"Plan-D'Orgon; Route De Cavaillon";2;22;false;4.998991;43.809447
Bmw Meylan;6;50.00;false;5.766108;45.203351
OuestCharge - Diva Sp - Chenehutte-Treves-Cunault - Pont Pouillet;2;22;false;-0.152529;47.308056
CESTAS - BOURG;2;22000;false;-0.684628;44.741707
TOULOUSE - Saint-Etienne;6;7;TRUE;1.4497174;43.6003068
AIRE NARBONNE VINASSAN SUD;8;50;False;3.092478;43.216189
SARTHE SARGE LE MANS NORD;15;175;False;0.254647;48.055847
Bricomarché Rouxmesnil Bouteilles;3;50;false;1.1091607;49.9055932
COEUR DE CAUSSE - Place de la Mairie;2;3.7;false;1.5684139728546143;44.648136138916016
Metropolis - Express - Santeny - Erables;1;50;false;2.566491;48.718446
THIAIS - Rue De La Saussaie;2;7.4;TRUE;2.3826542;48.7693076
ARCHIAC - RUE DE LA PART DES ANGES;2;43000;false;-0.303649;45.527902
"Monestier-De-Clermont; Grande Rue";2;22;false;5.6337565;44.9155285
"Saint-Pourçain-sur-Sioule; Quai de La Ronde";2;50;false;3.29217;46.3067
Intermarché Rouxmenil Bouteilles;3;50;false;1.0838833;49.9110933
"Brignoles; 01 Rue du portail Neuf";2;22;false;6.062531;43.403983
DRANCY - Rue Diderot;5;7.4;false;2.4288876056671143;48.9194450378418
ROSTRENEN-ZA DE GOASNEL;1;50000;false;-3.313114;48.242321
Rebeilleau;1;120;false;0.37044;46.5711
MAIRIEUX - Rue Haute;2;3.7;false;3.992480993270874;50.31258010864258
Kia Arles;4;22.08;false;4.641079;43.664734
900021;2;22.0;false;1.16539;49.21079
JOUY-LE-MOUTIER - Avenue Des Bruzacques;2;3.7;false;2.0424211025238037;49.1241683959961
Cora Alès ( 30);5;22;false;4.0962023;44.1113341
FOURQUES - Parking Avenue Du Vieux Pont;2;18.0;false;4.611870765686035;43.69068145751953
Paris | Avenue RaphaÃ«l 20;6;7;False;2.267881;48.85926
Bricormarché Ernée;3;50;false;-0.915173;48.2943225
LarÃ©ole;2;18;false;1.02102;43.7379
PARIS - Saint Sulpice -1;6;7;TRUE;2.333565;48.851196
"Moyaux; Rue Gustave Flaubert";2;22;false;0.357187;49.19585
"La Frette; Place des Déportés et Résistants";2;22;false;5.36198;45.3908
"Clécy; Rue Arsène Delavigne";2;22;false;-0.48176;48.917553
LA FLECHE - Boulevard de Montréal;2;50.0;false;0.07158400118350983;47.69752502441406
TISSEO BALMA GRAMONT;18;300;false;1.48157;43.62854
SAINT SULPICE LA POINTE - Parking Office Tourisme;4;3.7;false;1.6881870031356812;43.77433395385742
RELAIS TROYES FRESNOY;4;175;False;4.241364539907534;48.21135002599696
Paris | Avenue Richerand 11;7;7;False;2.366288;48.87237
SAINT MAMERT DU GARD - Route De Nîmes;2;3.7;false;4.188772201538086;43.885738372802734
CHAMPIGNY SUR MARNE  - Voie Sonia Delaunay;6;7.4;false;2.5280001163482666;48.8135986328125
